epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7649.36,1.68721,0.7198,0.00143,0.85034,0.71424,0.76155,0.44147,1.76746,0.85445,0.00284,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7892.91,1.67696,0.70885,0.00142,0.85276,0.70844,0.76783,0.45028,1.76093,0.84607,0.00285,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8131.38,1.67623,0.71501,0.00143,0.85257,0.71799,0.77291,0.44771,1.77437,0.86734,0.0028,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8368.36,1.66061,0.70333,0.0014,0.85381,0.72814,0.78914,0.45737,1.75473,0.84185,0.00275,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8600.87,1.65181,0.69892,0.0014,0.84453,0.71728,0.77341,0.44836,1.7441,0.84697,0.00277,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8838.25,1.63694,0.69667,0.00138,0.84164,0.71368,0.76659,0.4449,1.76466,0.85468,0.0028,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9081.45,1.62831,0.67877,0.00137,0.84832,0.72834,0.77992,0.45727,1.74621,0.83821,0.00277,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9324.45,1.62632,0.68969,0.00137,0.855,0.72175,0.77216,0.45246,1.7384,0.84491,0.00271,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9565.72,1.60832,0.67798,0.00136,0.87187,0.73586,0.77691,0.44849,1.7368,0.84565,0.00273,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9803.23,1.60802,0.67999,0.00135,0.8792,0.73385,0.79591,0.45376,1.74463,0.80752,0.00277,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10045.2,1.59798,0.66763,0.00133,0.8649,0.72937,0.77735,0.45629,1.74381,0.83756,0.00274,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10284.4,1.5952,0.67244,0.00134,0.86457,0.72795,0.78143,0.46303,1.72038,0.82999,0.00267,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10517.7,1.57955,0.66083,0.00132,0.86118,0.73397,0.78045,0.46188,1.73384,0.8373,0.00276,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10751.6,1.57077,0.65813,0.00131,0.87697,0.73111,0.78932,0.45903,1.73955,0.83774,0.00274,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10987.2,1.57196,0.65767,0.00132,0.86442,0.7199,0.77353,0.45744,1.73396,0.84916,0.00277,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11221.7,1.55922,0.65572,0.00129,0.85651,0.72998,0.78242,0.46234,1.7229,0.82118,0.00276,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11456.9,1.54529,0.6474,0.00128,0.87022,0.73727,0.78713,0.46041,1.72752,0.81419,0.00276,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11689.8,1.54389,0.64564,0.00126,0.83443,0.74574,0.78886,0.46727,1.73706,0.83802,0.00279,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11924,1.54275,0.64186,0.00128,0.88024,0.72082,0.77711,0.46089,1.72262,0.82909,0.00272,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12160.2,1.52491,0.6245,0.00126,0.88393,0.73474,0.78977,0.46985,1.72099,0.8247,0.00272,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,12395.7,1.52286,0.6267,0.00126,0.872,0.73884,0.7881,0.46778,1.72236,0.80397,0.00272,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,12633.3,1.50691,0.62275,0.00124,0.85549,0.73703,0.78717,0.46606,1.73075,0.84273,0.00272,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12868.1,1.5094,0.62795,0.00124,0.86493,0.74023,0.79114,0.47087,1.71947,0.82937,0.00271,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13103,1.49933,0.61834,0.00122,0.86641,0.73721,0.79279,0.47056,1.72985,0.81828,0.00272,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,13340.7,1.49365,0.6139,0.0012,0.86655,0.74097,0.7965,0.47159,1.72661,0.82757,0.0027,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,13574.4,1.48539,0.6159,0.0012,0.87063,0.74134,0.79714,0.47572,1.72276,0.81383,0.00268,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,13810.4,1.47908,0.61704,0.00122,0.86773,0.73546,0.78806,0.4719,1.72478,0.82025,0.00271,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,14050.8,1.47658,0.60337,0.00119,0.87143,0.74727,0.80159,0.47758,1.7229,0.81087,0.00267,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
